name,barcode,id_category,id_subcategory,id_segment,stock,price_bought,price_sale,discount
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",FUR-BO-10002202,1,5,1,58,72.294,89.10537195,0.7
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,1,5,1,42,532.3992,594.3708868,0.32
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",FUR-BO-10002613,1,5,1,98,899.136,1698.908826,0.2
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",FUR-BO-10001811,1,5,1,31,722.352,1310.27711,0.2
Bestar Classic Bookcase,FUR-BO-10004467,1,5,1,4,254.9745,489.8962001,0.15
"Bush Andora Bookcase, Maple/Graphite Gray Finish",FUR-BO-10004015,1,5,1,28,191.984,367.5326168,0.2
"Bush Cubix Collection Bookcases, Fully Assembled",FUR-BO-10003660,1,5,1,57,220.98,409.6360701,0
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",FUR-BO-10004218,1,5,1,84,352.45,475.7323131,0.5
Bush Mission Pointe Library,FUR-BO-10002824,1,5,1,3,205.3328,380.4343896,0.32
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",FUR-BO-10002206,1,5,1,36,119.833,149.4113397,0.15
Bush Somerset Collection Bookcase,FUR-BO-10001798,1,5,1,66,261.96,381.1356075,0
"Bush Westfield Collection Bookcases, Dark Cherry Finish",FUR-BO-10003450,1,5,1,77,173.94,248.03333,0
"Bush Westfield Collection Bookcases, Fully Assembled",FUR-BO-10003441,1,5,1,87,323.136,642.3644785,0.2
"Bush Westfield Collection Bookcases, Medium Cherry Finish",FUR-BO-10004709,1,5,1,96,86.97,159.7035794,0.5
DMI Eclipse Executive Suite Bookcases,FUR-BO-10002213,1,5,1,19,425.833,695.4932567,0.15
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",FUR-BO-10003404,1,5,1,79,1292.94,1786.717435,0
Hon 4-Shelf Metal Bookcases,FUR-BO-10003546,1,5,1,85,302.94,405.8693421,0
"Hon Metal Bookcases, Black",FUR-BO-10001608,1,5,1,53,193.0656,279.9146064,0.32
"Hon Metal Bookcases, Gray",FUR-BO-10000711,1,5,1,90,638.82,1217.900224,0
"Hon Metal Bookcases, Putty",FUR-BO-10002598,1,5,1,28,141.96,207.0600693,0
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,FUR-BO-10004695,1,5,1,33,452.45,501.0009996,0.5
O'Sullivan 2-Shelf Heavy-Duty Bookcases,FUR-BO-10000468,1,5,1,98,145.74,248.6950456,0
O'Sullivan 3-Shelf Heavy-Duty Bookcases,FUR-BO-10001519,1,5,1,86,186.048,326.743939,0.2
O'Sullivan 4-Shelf Bookcase in Odessa Pine,FUR-BO-10001972,1,5,1,2,1336.829,1890.820063,0.15
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,FUR-BO-10004690,1,5,1,17,384.944,739.805648,0.3
"O'Sullivan Elevations Bookcase, Cherry Finish",FUR-BO-10003034,1,5,1,85,183.372,316.3358355,0.3
O'Sullivan Living Dimensions 2-Shelf Bookcases,FUR-BO-10001337,1,5,1,29,514.165,566.7337645,0.15
O'Sullivan Living Dimensions 3-Shelf Bookcases,FUR-BO-10004357,1,5,1,88,1406.86,2691.107281,0
O'Sullivan Living Dimensions 5-Shelf Bookcases,FUR-BO-10003272,1,5,1,44,883.92,1556.683578,0.2
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,FUR-BO-10003965,1,5,1,81,307.666,559.5739618,0.15
O'Sullivan Plantations 2-Door Library in Landvery Oak,FUR-BO-10000780,1,5,1,92,956.6648,1292.281929,0.32
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,1,5,1,37,3083.43,5708.409852,0.5
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",FUR-BO-10002916,1,5,1,39,435.999,861.5617637,0.15
Rush Hierlooms Collection Rich Wood Bookcases,FUR-BO-10004360,1,5,1,25,160.98,225.2727532,0
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",FUR-BO-10004409,1,5,1,38,35.49,62.65877307,0.5
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",FUR-BO-10003894,1,5,1,33,482.664,572.1870184,0.15
Sauder Barrister Bookcases,FUR-BO-10002268,1,5,1,2,388.704,685.4562981,0.2
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",FUR-BO-10000330,1,5,1,28,411.332,528.2839481,0.15
